,Threshold,Accuracy,ROC AUC score,F1 Score
0,0.05,0.7593333333333333,0.8454960034575433,0.4403100775193799
1,0.1,0.8406666666666667,0.8488492242882478,0.5171717171717172
2,0.15,0.8646666666666667,0.8084317358754888,0.5200945626477541
3,0.2,0.884,0.7713947908335361,0.5193370165745856
4,0.25,0.8866666666666667,0.7310766571120574,0.48484848484848486
5,0.3,0.8946666666666667,0.7146185525015027,0.48026315789473684
6,0.35,0.8993333333333333,0.6963099667658558,0.4664310954063604
7,0.4,0.906,0.6880684951241686,0.4679245283018868
8,0.45,0.9086666666666666,0.6596927952945618,0.43153526970954353
9,0.5,0.9086666666666666,0.6358079275108173,0.39111111111111113
10,0.55,0.9066666666666666,0.6048415541060809,0.3269230769230769
11,0.6,0.9026666666666666,0.5727648920262892,0.24742268041237112
12,0.65,0.9013333333333333,0.5541110487384439,0.19565217391304346
13,0.7,0.9006666666666666,0.5268704762567127,0.10778443113772455
14,0.75,0.8986666666666666,0.5048609282708806,0.025641025641025644
15,0.8,0.9,0.4996299037749815,0.0
16,0.85,0.9006666666666666,0.5,0.0
17,0.9,0.9006666666666666,0.5,0.0
18,0.95,0.9006666666666666,0.5,0.0
19,0.99,0.9006666666666666,0.5,0.0
